id,title,rating,release_year,,,,trailer_url,,,,,poster_url,,,,,,,genres,overview
12,Finding Nemo,7.824,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,,,,,,,Animation| Family,"Finding Nemo is a Animation,  Family film. The story follows characters facing challenges and events that shape their journey."
346364,It,7.242,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,,,,,,,Horror| Fantasy,"It is a Horror,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
245891,John Wick,7.421,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,,,,,,,Action| Thriller,"John Wick is a Action,  Thriller film. The story follows characters facing challenges and events that shape their journey."
259316,Fantastic Beasts and Where to Find Them,7.334,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/h6NYfVUyM6CDURtZSnBpz647Ldd.jpg,,,,,,,Fantasy| Adventure| Family,"Fantastic Beasts and Where to Find Them is a Fantasy,  Adventure,  Family film. The story follows characters facing challenges and events that shape their journey."
12444,Harry Potter and the Deathly Hallows: Part 1,7.763,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,,,,,,,Adventure| Fantasy,"Harry Potter and the Deathly Hallows: Part 1 is a Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
354912,Coco,8.222,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,,,,,,,Family| Animation| Fantasy| Music| Comedy| Adventure,"Coco is a Family,  Animation,  Fantasy,  Music,  Comedy,  Adventure film. The story follows characters facing challenges and events that shape their journey."
100402,Captain America: The Winter Soldier,7.671,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,,,,,,,Action| Adventure| Science Fiction,"Captain America: The Winter Soldier is a Action,  Adventure,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
557,Spider-Man,7.279,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,,,,,,,Fantasy| Action,"Spider-Man is a Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
10681,WALLÂ·E,8.078,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,,,,,,,Animation| Family| Science Fiction,"WALLÂ·E is a Animation,  Family,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
210577,Gone Girl,7.892,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/qymaJhucquUwjpb8oiqynMeXnID.jpg,,,,,,,Mystery| Thriller| Drama,"Gone Girl is a Mystery,  Thriller,  Drama film. The story follows characters facing challenges and events that shape their journey."
49051,The Hobbit: An Unexpected Journey,7.339,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,,,,,,,Adventure| Fantasy| Action,"The Hobbit: An Unexpected Journey is a Adventure,  Fantasy,  Action film. The story follows characters facing challenges and events that shape their journey."
585,"Monsters, Inc.",7.835,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/sgheSKxZkttIe8ONsf2sWXPgip3.jpg,,,,,,,Animation| Comedy| Family,"Monsters, Inc. is a Animation,  Comedy,  Family film. The story follows characters facing challenges and events that shape their journey."
862,Toy Story,7.971,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,,,,,,,Animation| Adventure| Family| Comedy,"Toy Story is a Animation,  Adventure,  Family,  Comedy film. The story follows characters facing challenges and events that shape their journey."
281957,The Revenant,7.5,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,,,,,,,Western| Drama| Adventure,"The Revenant is a Western,  Drama,  Adventure film. The story follows characters facing challenges and events that shape their journey."
209112,Batman v Superman: Dawn of Justice,5.952,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,,,,,,,Action| Adventure| Fantasy,"Batman v Superman: Dawn of Justice is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
8587,The Lion King,8.256,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,,,,,,,Family| Animation| Drama,"The Lion King is a Family,  Animation,  Drama film. The story follows characters facing challenges and events that shape their journey."
98,Gladiator,8.209,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,,,,,,,Action| Drama| Adventure,"Gladiator is a Action,  Drama,  Adventure film. The story follows characters facing challenges and events that shape their journey."
37165,The Truman Show,8.133,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,,,,,,,Comedy| Drama,"The Truman Show is a Comedy,  Drama film. The story follows characters facing challenges and events that shape their journey."
9806,The Incredibles,7.704,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,,,,,,,Action| Adventure| Animation| Family,"The Incredibles is a Action,  Adventure,  Animation,  Family film. The story follows characters facing challenges and events that shape their journey."
329865,Arrival,7.6,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,,,,,,,Drama| Science Fiction| Mystery,"Arrival is a Drama,  Science Fiction,  Mystery film. The story follows characters facing challenges and events that shape their journey."
76338,Thor: The Dark World,6.538,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,,,,,,,Action| Adventure| Fantasy,"Thor: The Dark World is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
1930,The Amazing Spider-Man,6.691,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/jIfkQNARYyERqRAq1p1c8xgePp4.jpg,,,,,,,Action| Adventure| Fantasy,"The Amazing Spider-Man is a Action,  Adventure,  Fantasy film. The story follows characters facing challenges and events that shape their journey."
381288,Split,7.337,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,,,,,,,Horror| Thriller,"Split is a Horror,  Thriller film. The story follows characters facing challenges and events that shape their journey."
383498,Deadpool 2,7.492,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,,,,,,,Action| Comedy| Adventure,"Deadpool 2 is a Action,  Comedy,  Adventure film. The story follows characters facing challenges and events that shape their journey."
694,The Shining,8.218,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/xazWoLealQwEgqZ89MLZklLZD3k.jpg,,,,,,,Horror| Thriller,"The Shining is a Horror,  Thriller film. The story follows characters facing challenges and events that shape their journey."
24,Kill Bill: Vol. 1,7.97,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,,,,,,,Action| Crime,"Kill Bill: Vol. 1 is a Action,  Crime film. The story follows characters facing challenges and events that shape their journey."
101299,The Hunger Games: Catching Fire,7.4,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/vrQHDXjVmbYzadOXQ0UaObunoy2.jpg,,,,,,,Adventure| Action| Science Fiction,"The Hunger Games: Catching Fire is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey."
77338,Intouchables,8.277,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/323BP0itpxTsO0skTwdnVmf7YC9.jpg,,,,,,,Drama| Comedy,"Intouchables is a Drama,  Comedy film. The story follows characters facing challenges and events that shape their journey."
419430,Get Out,7.62,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg,,,,,,,Mystery| Thriller| Horror,"Get Out is a Mystery,  Thriller,  Horror film. The story follows characters facing challenges and events that shape their journey."
205596,The Imitation Game,8.007,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,,,,,,,History| Drama| Thriller| War,"The Imitation Game is a History,  Drama,  Thriller,  War film. The story follows characters facing challenges and events that shape their journey."
424694,Bohemian Rhapsody,7.997,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,,,,,,,Music| Drama| History,"Bohemian Rhapsody is a Music,  Drama,  History film. The story follows characters facing challenges and events that shape their journey."
497,The Green Mile,8.507,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,,,,,,,Fantasy| Drama| Crime,"The Green Mile is a Fantasy,  Drama,  Crime film. The story follows characters facing challenges and events that shape their journey."
